SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28,SC29,SC30,SC31,SC32,SC33,SC34,SC35,SC36,SC37,SC38,SC39,SC40,SC41,AVERAGE
40.0,25.0,14.0,50.0,54.0,52.0,68.0,64.0,62.0,53.0,17.0,70.0,72.0,33.0,67.0,55.0,23.0,0.0,0.0,45.0,50.0,45.0,2.2,52.8,52.6,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,45.7
61.0,68.0,82.0,63.0,61.0,64.0,87.0,55.0,66.0,83.0,79.0,70.0,50.0,60.0,76.0,77.0,76.0,65.0,80.0,58.0,64.0,84.0,84.0,78.0,91.0,64.0,67.0,66.0,82.0,57.0,61.0,74.0,75.0,83.0,74.0,82.0,68.0,62.0,60.0,78.0,71.0,70.9
60.0,67.0,48.0,51.0,60.0,66.0,56.0,42.0,78.0,42.0,61.0,62.0,40.0,60.0,34.0,71.0,65.0,71.0,65.0,76.0,55.0,59.0,66.0,69.0,68.0,57.0,58.0,45.0,41.0,83.0,40.0,40.0,45.0,80.0,51.0,55.0,45.0,3.1,48.3,49.3,47.8,55.6
56.0,52.0,29.0,35.0,55.0,45.0,35.0,20.0,46.0,36.0,10.0,30.0,36.0,47.0,29.0,37.0,25.0,64.0,40.0,13.0,34.0,33.0,7.0,55.0,22.0,26.0,50.0,41.0,45.0,41.0,45.0,72.0,31.0,47.0,36.0,70.0,22.0,57.0,22.0,45.0,37.0,38.5
53.0,63.0,52.0,52.0,58.0,57.0,60.0,71.0,48.0,52.0,40.0,58.0,47.0,69.0,54.0,71.0,46.0,46.0,75.0,19.0,52.0,58.0,54.0,62.0,76.0,76.0,73.0,72.0,47.0,45.0,52.0,45.0,31.0,24.0,34.0,45.0,48.0,60.0,67.0,70.0,49.0,54.4
76.0,40.0,46.0,57.0,52.0,50.0,55.0,50.0,45.0,45.0,65.0,47.0,58.0,85.0,50.0,38.0,66.0,55.0,58.0,51.0,2.9,52.2,52.4,52.8,52.6,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,51.4
50.0,60.0,47.0,45.0,32.0,30.0,63.0,55.0,27.0,66.0,41.0,54.0,45.0,33.0,35.0,37.0,40.0,36.0,47.0,20.0,31.0,56.0,52.0,40.0,42.0,58.0,45.0,22.0,24.0,35.0,45.0,48.0,68.0,41.0,45.0,46.0,59.0,52.0,55.0,54.0,51.0,44.7
43.0,68.0,53.0,44.0,53.0,51.0,50.0,57.0,67.0,50.0,66.0,50.0,57.0,44.0,71.0,40.0,51.0,48.0,53.0,50.0,58.0,60.0,66.0,53.0,59.0,64.0,56.0,61.0,65.0,46.0,19.0,60.0,55.0,33.0,50.0,84.0,40.0,45.0,45.0,60.0,2.9,52.4
60.0,63.0,45.0,34.0,20.0,37.0,19.0,15.0,6.0,46.0,27.0,45.0,26.0,32.0,50.0,40.0,18.0,5.0,21.0,38.0,66.0,50.0,26.0,40.0,34.0,35.0,66.0,45.0,45.0,30.0,32.0,12.0,45.0,50.0,53.0,45.0,68.0,19.0,32.0,1.2,47.8,36.3
60.0,61.0,73.0,45.0,45.0,58.0,55.0,45.0,51.0,15.0,15.0,28.0,48.0,52.0,45.0,51.0,52.0,54.0,60.0,54.0,58.0,40.0,32.0,60.0,59.0,62.0,50.0,43.0,60.0,66.0,53.0,40.0,65.0,40.0,58.0,52.0,62.0,54.0,32.0,51.0,81.0,50.9
62.0,51.0,34.0,20.0,35.0,9.0,51.0,26.0,10.0,14.0,29.0,29.0,27.0,33.0,33.0,45.0,47.0,64.0,45.0,15.0,20.0,40.0,40.0,31.0,55.0,15.0,57.0,41.0,41.0,54.0,0.0,50.0,18.0,14.0,29.0,58.0,46.0,62.0,32.0,18.0,45.0,35.2
46.0,50.0,51.0,41.0,57.0,50.0,45.0,31.0,46.0,50.0,45.0,70.0,31.0,48.0,28.0,30.0,50.0,38.0,46.0,47.0,32.0,45.0,51.0,55.0,72.0,54.0,53.0,46.0,20.0,45.0,53.0,36.0,22.0,68.0,32.0,45.0,48.0,50.0,50.0,67.0,48.0,46.1
51.0,63.0,52.0,33.0,61.0,47.0,54.0,48.0,68.0,60.0,40.0,71.0,28.0,32.0,45.0,41.0,55.0,28.0,48.0,65.0,23.0,29.0,48.0,27.0,42.0,46.0,64.0,46.0,46.0,53.0,61.0,51.0,53.0,45.0,61.0,50.0,26.0,37.0,62.0,30.0,45.0,47.2
70.0,76.0,43.0,30.0,57.0,55.0,50.0,45.0,46.0,27.0,52.0,48.0,34.0,51.0,45.0,55.0,45.0,60.0,46.0,68.0,56.0,38.0,61.0,70.0,68.0,25.0,52.0,45.0,67.0,19.0,74.0,65.0,2.6,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,49.9
54.0,53.0,65.0,42.0,57.0,62.0,70.0,53.0,74.0,52.0,60.0,57.0,78.0,45.0,70.0,63.0,62.0,74.0,59.0,63.0,71.0,75.0,68.0,72.0,77.0,76.0,46.0,62.0,54.0,53.0,48.0,72.0,62.0,42.0,50.0,80.0,58.0,53.0,57.0,68.0,3.7,60.0
67.0,84.0,54.0,70.0,87.0,77.0,78.0,65.0,76.0,80.0,97.0,76.0,90.0,57.0,74.0,82.0,73.0,68.0,76.0,79.0,81.0,80.0,82.0,92.0,86.0,83.0,77.0,84.0,88.0,85.0,86.0,62.0,75.0,50.0,61.0,74.0,83.0,71.0,95.0,82.0,4.7,75.4
53.0,46.0,56.0,45.0,30.0,53.0,30.0,11.0,50.0,47.0,45.0,42.0,56.0,52.0,52.0,45.0,56.0,47.0,54.0,37.0,45.0,33.0,49.0,50.0,40.0,55.0,63.0,29.0,43.0,45.0,48.0,54.0,28.0,61.0,36.0,54.0,56.0,40.0,46.0,44.0,51.0,45.8
55.0,51.0,64.0,60.0,45.0,65.0,52.0,58.0,47.0,57.0,45.0,60.0,64.0,50.0,50.0,57.0,43.0,61.0,68.0,65.0,43.0,54.0,53.0,51.0,81.0,63.0,61.0,56.0,50.0,47.0,63.0,54.0,71.0,66.0,60.0,48.0,60.0,55.0,40.0,52.0,58.0,56.2
38.0,66.0,44.0,21.0,45.0,56.0,61.0,65.0,38.0,35.0,45.0,30.0,26.0,45.0,36.0,43.0,32.0,45.0,53.0,58.0,48.0,45.0,46.0,55.0,75.0,26.0,45.0,48.0,26.0,36.0,40.0,46.0,67.0,6.0,50.0,30.0,40.0,23.0,51.0,36.0,45.0,43.1
51.0,87.0,74.0,70.0,84.0,62.0,50.0,66.0,78.0,70.0,63.0,76.0,40.0,64.0,62.0,45.0,56.0,56.0,61.0,41.0,55.0,53.0,46.0,48.0,45.0,67.0,55.0,51.0,69.0,73.0,62.0,53.0,54.0,62.0,60.0,54.0,46.0,60.0,45.0,48.0,61.0,59.1
59.0,62.0,72.0,45.0,45.0,52.0,55.0,38.0,63.0,26.0,54.0,70.0,60.0,46.0,74.0,68.0,62.0,64.0,64.0,70.0,65.0,51.0,75.0,62.0,60.0,57.0,45.0,61.0,57.0,63.0,72.0,70.0,71.0,61.0,54.0,45.0,48.0,68.0,47.0,51.0,67.0,58.5
63.0,87.0,63.0,51.0,62.0,62.0,60.0,60.0,73.0,50.0,40.0,60.0,48.0,42.0,42.0,44.0,40.0,34.0,63.0,40.0,51.0,45.0,60.0,52.0,38.0,70.0,57.0,57.0,56.0,52.0,61.0,58.0,58.0,64.0,54.0,45.0,34.0,60.0,53.0,72.0,60.0,54.7
45.0,55.0,19.0,53.0,52.0,44.0,57.0,28.0,34.0,40.0,59.0,40.0,15.0,40.0,62.0,26.0,29.0,24.0,45.0,50.0,48.0,21.0,53.0,67.0,55.0,57.0,41.0,16.0,30.0,50.0,45.0,54.0,77.0,28.0,6.0,1.8,51.2,51.4,48.3,49.3,47.8,41.8
48.0,55.0,65.0,45.0,75.0,54.0,60.0,53.0,67.0,40.0,81.0,45.0,53.0,54.0,53.0,58.0,54.0,69.0,47.0,71.0,72.0,65.0,53.0,55.0,64.0,78.0,48.0,68.0,67.0,62.0,40.0,70.0,51.0,50.0,57.0,70.0,47.0,57.0,57.0,63.0,3.3,57.2
41.0,50.0,58.0,43.0,48.0,42.0,34.0,32.0,61.0,58.0,70.0,62.0,45.0,60.0,51.0,56.0,62.0,72.0,52.0,53.0,69.0,59.0,58.0,65.0,78.0,57.0,57.0,52.0,45.0,20.0,71.0,17.0,51.0,41.0,55.0,60.0,47.0,44.0,60.0,60.0,2.7,51.7
50.0,56.0,62.0,45.0,45.0,49.0,45.0,19.0,50.0,46.0,55.0,43.0,35.0,37.0,45.0,56.0,58.0,55.0,52.0,61.0,48.0,45.0,60.0,40.0,54.0,51.0,60.0,40.0,50.0,40.0,46.0,41.0,60.0,54.0,42.0,65.0,46.0,45.0,50.0,63.0,54.0,49.2
53.0,55.0,53.0,61.0,52.0,53.0,56.0,45.0,45.0,46.0,50.0,56.0,47.0,45.0,67.0,46.0,68.0,64.0,64.0,52.0,62.0,42.0,57.0,60.0,47.0,42.0,62.0,40.0,41.0,60.0,51.0,61.0,40.0,56.0,44.0,61.0,65.0,47.0,31.0,38.0,65.0,52.4
52.0,70.0,51.0,52.0,37.0,69.0,58.0,48.0,70.0,49.0,50.0,39.0,38.0,39.0,53.0,51.0,63.0,64.0,60.0,64.0,61.0,56.0,62.0,52.0,54.0,44.0,62.0,60.0,62.0,52.0,52.0,65.0,45.0,56.0,50.0,47.0,71.0,40.0,35.0,52.0,46.0,53.7
50.0,51.0,47.0,40.0,39.0,27.0,47.0,48.0,58.0,45.0,36.0,38.0,58.0,29.0,45.0,45.0,45.0,51.0,48.0,29.0,62.0,55.0,52.0,37.0,42.0,42.0,40.0,46.0,46.0,22.0,66.0,20.0,53.0,42.0,45.0,76.0,29.0,55.0,66.0,30.0,48.0,45.1
50.0,31.0,40.0,54.0,79.0,70.0,63.0,56.0,63.0,65.0,66.0,70.0,60.0,59.0,50.0,70.0,50.0,72.0,58.0,52.0,52.0,57.0,65.0,77.0,70.0,68.0,66.0,68.0,48.0,40.0,51.0,41.0,53.0,50.0,53.0,78.0,62.0,42.0,57.0,52.0,3.4,56.9
53.0,50.0,51.0,30.0,68.0,45.0,45.0,47.0,29.0,53.0,45.0,45.0,59.0,43.0,0.0,49.0,43.0,0.0,46.0,64.0,1.8,52.2,52.4,52.8,52.6,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,45.9
66.0,76.0,76.0,58.0,79.0,76.0,83.0,71.0,70.0,60.0,73.0,77.0,56.0,55.0,68.0,72.0,63.0,75.0,72.0,80.0,79.0,82.0,66.0,54.0,62.0,75.0,0.0,70.0,62.0,70.0,85.0,77.0,70.0,52.0,0.0,74.0,66.0,59.0,57.0,4.2,47.8,63.9
30.0,60.0,53.0,26.0,48.0,60.0,45.0,42.0,58.0,41.0,54.0,50.0,25.0,61.0,52.0,40.0,61.0,68.0,51.0,54.0,47.0,58.0,45.0,61.0,68.0,50.0,57.0,51.0,26.0,70.0,53.0,45.0,61.0,64.0,53.0,46.0,2.7,51.4,48.3,49.3,47.8,49.6
61.0,71.0,68.0,60.0,66.0,60.0,70.0,46.0,43.0,50.0,76.0,61.0,49.0,50.0,45.0,62.0,58.0,50.0,62.0,44.0,57.0,42.0,56.0,67.0,53.0,70.0,51.0,59.0,63.0,66.0,77.0,53.0,72.0,71.0,57.0,49.0,52.0,73.0,46.0,58.0,55.0,58.5
58.0,45.0,65.0,46.0,50.0,47.0,50.0,50.0,43.0,28.0,35.0,53.0,52.0,37.0,56.0,37.0,49.0,57.0,47.0,27.0,42.0,30.0,62.0,26.0,52.0,67.0,40.0,45.0,56.0,60.0,50.0,45.0,67.0,60.0,47.0,36.0,49.0,46.0,57.0,45.0,60.0,48.1
63.0,61.0,28.0,61.0,55.0,22.0,41.0,41.0,60.0,50.0,50.0,67.0,55.0,52.0,40.0,47.0,53.0,34.0,36.0,60.0,71.0,62.0,45.0,48.0,2.4,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,49.0
50.0,53.0,63.0,45.0,37.0,72.0,61.0,62.0,71.0,45.0,45.0,59.0,38.0,36.0,55.0,48.0,78.0,68.0,50.0,57.0,73.0,48.0,64.0,60.0,52.0,57.0,66.0,50.0,43.0,70.0,59.0,62.0,45.0,70.0,51.0,48.0,61.0,73.0,51.0,45.0,61.0,56.1
40.0,75.0,76.0,67.0,50.0,61.0,62.0,60.0,55.0,64.0,60.0,68.0,46.0,50.0,53.0,42.0,55.0,47.0,58.0,59.0,51.0,73.0,50.0,41.0,70.0,50.0,3.2,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,53.4
50.0,43.0,47.0,55.0,50.0,55.0,24.0,45.0,50.0,45.0,57.0,45.0,45.0,32.0,33.0,53.0,47.0,53.0,37.0,45.0,35.0,31.0,60.0,62.0,50.0,1.0,41.0,48.0,25.0,30.0,30.0,47.0,47.0,56.0,62.0,31.0,30.0,40.0,60.0,66.0,35.0,43.9
68.0,74.0,78.0,72.0,60.0,65.0,78.0,77.0,59.0,50.0,50.0,80.0,50.0,45.0,46.0,68.0,56.0,52.0,60.0,50.0,50.0,77.0,57.0,71.0,45.0,66.0,45.0,52.0,45.0,50.0,62.0,61.0,42.0,54.0,71.0,60.0,70.0,67.0,36.0,57.0,61.0,59.4
56.0,64.0,60.0,30.0,45.0,45.0,47.0,50.0,65.0,65.0,50.0,46.0,60.0,46.0,62.0,57.0,56.0,47.0,55.0,61.0,42.0,60.0,76.0,65.0,71.0,46.0,45.0,60.0,51.0,45.0,57.0,61.0,73.0,67.0,48.0,45.0,45.0,53.0,47.0,51.0,49.0,54.2
63.0,60.0,79.0,58.0,47.0,77.0,62.0,50.0,55.0,45.0,70.0,76.0,72.0,58.0,60.0,84.0,73.0,51.0,39.0,65.0,66.0,73.0,70.0,80.0,75.0,56.0,77.0,66.0,60.0,65.0,78.0,73.0,80.0,76.0,66.0,80.0,65.0,60.0,62.0,55.0,77.0,66.0
62.0,75.0,50.0,57.0,52.0,65.0,50.0,71.0,52.0,70.0,56.0,61.0,61.0,41.0,67.0,50.0,58.0,65.0,74.0,45.0,40.0,60.0,42.0,42.0,50.0,3.2,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,53.0
63.0,48.0,66.0,53.0,50.0,45.0,44.0,52.0,38.0,58.0,45.0,56.0,51.0,45.0,64.0,55.0,55.0,71.0,45.0,63.0,42.0,47.0,67.0,67.0,27.0,56.0,48.0,45.0,57.0,45.0,45.0,57.0,73.0,45.0,47.0,46.0,47.0,71.0,45.0,58.0,58.0,52.7
64.0,56.0,58.0,50.0,45.0,45.0,50.0,50.0,45.0,55.0,29.0,18.0,30.0,24.0,53.0,70.0,38.0,22.0,63.0,38.0,38.0,60.0,70.0,18.0,40.0,48.0,57.0,65.0,46.0,49.0,62.0,60.0,37.0,47.0,58.0,45.0,57.0,25.0,17.0,46.0,33.0,45.9
62.0,50.0,74.0,70.0,50.0,50.0,45.0,63.0,75.0,39.0,45.0,66.0,65.0,46.0,59.0,56.0,52.0,45.0,62.0,41.0,38.0,47.0,67.0,74.0,45.0,50.0,50.0,45.0,55.0,66.0,74.0,48.0,45.0,55.0,50.0,53.0,64.0,62.0,49.0,59.0,59.0,55.4
51.0,72.0,67.0,67.0,84.0,73.0,60.0,63.0,82.0,60.0,69.0,78.0,89.0,68.0,57.0,79.0,72.0,60.0,61.0,54.0,65.0,51.0,58.0,68.0,54.0,76.0,60.0,56.0,63.0,66.0,75.0,63.0,87.0,92.0,70.0,61.0,65.0,64.0,84.0,85.0,72.0,68.3
53.0,62.0,53.0,50.0,50.0,45.0,57.0,50.0,45.0,75.0,36.0,45.0,65.0,30.0,47.0,53.0,61.0,68.0,63.0,51.0,50.0,40.0,77.0,56.0,62.0,42.0,45.0,45.0,56.0,30.0,38.0,45.0,57.0,54.0,58.0,53.0,71.0,40.0,46.0,52.0,69.0,52.3
51.0,45.0,38.0,29.0,33.0,40.0,14.0,69.0,41.0,46.0,40.0,22.0,30.0,10.0,48.0,40.0,26.0,47.0,30.0,40.0,18.0,43.0,36.0,64.0,49.0,38.0,44.0,45.0,45.0,45.0,0.0,39.0,50.0,23.0,0.0,51.0,20.0,51.0,52.0,26.0,20.0,36.5
58.0,58.0,60.0,45.0,28.0,37.0,54.0,40.0,50.0,32.0,18.0,46.0,50.0,45.0,25.0,45.0,49.0,31.0,55.0,50.0,28.0,43.0,50.0,47.0,63.0,45.0,45.0,45.0,62.0,45.0,52.0,50.0,66.0,45.0,45.0,65.0,60.0,59.0,30.0,48.0,45.0,46.7
48.0,57.0,56.0,47.0,18.0,41.0,46.0,48.0,36.0,40.0,56.0,46.0,61.0,50.0,70.0,51.0,57.0,50.0,53.0,55.0,47.0,52.0,2.4,52.8,52.6,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,48.7
60.0,70.0,52.0,46.0,60.0,46.0,45.0,51.0,71.0,20.0,54.0,36.0,45.0,40.0,55.0,70.0,56.0,51.0,45.0,40.0,43.0,37.0,27.0,56.0,51.0,68.0,59.0,49.0,56.0,59.0,53.0,56.0,45.0,46.0,72.0,29.0,29.0,50.0,34.0,50.0,48.0,49.5
40.0,51.0,65.0,42.0,56.0,54.0,41.0,41.0,67.0,35.0,46.0,61.0,46.0,40.0,40.0,54.0,52.0,45.0,37.0,58.0,57.0,57.0,60.0,40.0,67.0,53.0,56.0,61.0,59.0,55.0,29.0,60.0,51.0,48.0,47.0,55.0,61.0,26.0,45.0,2.4,47.8,49.0
60.0,60.0,46.0,35.0,54.0,62.0,35.0,51.0,45.0,45.0,60.0,45.0,45.0,45.0,51.0,70.0,62.0,45.0,62.0,51.0,56.0,60.0,60.0,61.0,44.0,55.0,40.0,62.0,50.0,62.0,48.0,60.0,70.0,60.0,56.0,78.0,46.0,45.0,74.0,62.0,50.0,54.3
62.0,42.0,48.0,50.0,58.0,30.0,50.0,66.0,55.0,12.0,45.0,40.0,30.0,40.0,40.0,45.0,55.0,45.0,22.0,30.0,54.0,57.0,53.0,66.0,41.0,42.0,55.0,36.0,55.0,45.0,54.0,69.0,60.0,54.0,55.0,60.0,53.0,49.0,80.0,60.0,60.0,49.3
40.0,50.0,43.0,15.0,45.0,30.0,57.0,26.0,33.0,40.0,34.0,10.0,53.0,52.0,11.0,37.0,39.0,48.0,53.0,32.0,45.0,40.0,1.0,52.8,52.6,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,42.6
40.0,57.0,58.0,46.0,50.0,42.0,60.0,60.0,65.0,44.0,51.0,0.0,0.0,30.0,66.0,72.0,55.0,60.0,60.0,67.0,78.0,62.0,50.0,60.0,52.0,8.0,70.0,53.0,42.0,45.0,70.0,62.0,47.0,66.0,2.8,50.8,51.2,51.4,48.3,49.3,47.8,50.0
61.0,65.0,87.0,62.0,79.0,88.0,82.0,60.0,75.0,52.0,51.0,49.0,78.0,68.0,64.0,66.0,85.0,77.0,60.0,58.0,65.0,75.0,64.0,75.0,84.0,46.0,52.0,48.0,75.0,55.0,62.0,57.0,80.0,68.0,81.0,71.0,75.0,65.0,50.0,59.0,42.0,66.2
45.0,34.0,46.0,47.0,76.0,55.0,50.0,40.0,70.0,55.0,45.0,53.0,40.0,0.0,51.0,48.0,53.0,43.0,60.0,67.0,65.0,66.0,56.0,75.0,75.0,55.0,52.0,54.0,50.0,47.0,45.0,27.0,50.0,46.0,51.0,66.0,74.0,52.0,55.0,2.7,47.8,51.0
55.0,60.0,60.0,50.0,37.0,77.0,67.0,51.0,55.0,47.0,50.0,62.0,45.0,45.0,55.0,52.0,62.0,79.0,30.0,57.0,48.0,52.0,61.0,74.0,51.0,45.0,50.0,63.0,52.0,44.0,40.0,67.0,40.0,50.0,50.0,54.0,78.0,43.0,46.0,55.0,52.0,53.9
30.0,42.0,60.0,45.0,60.0,45.0,27.0,0.0,49.0,45.0,40.0,4.0,52.0,5.0,29.0,45.0,29.0,20.0,10.0,69.0,16.0,53.0,40.0,27.0,59.0,66.0,47.0,40.0,1.7,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,40.4
65.0,74.0,63.0,45.0,75.0,67.0,53.0,56.0,42.0,55.0,46.0,56.0,56.0,71.0,50.0,73.0,70.0,48.0,47.0,42.0,60.0,62.0,66.0,61.0,45.0,69.0,66.0,47.0,58.0,69.0,64.0,50.0,50.0,54.0,66.0,65.0,46.0,81.0,60.0,58.0,66.0,59.0
55.0,45.0,67.0,51.0,28.0,54.0,80.0,36.0,47.0,49.0,23.0,47.0,57.0,32.0,51.0,55.0,53.0,52.0,39.0,36.0,53.0,63.0,51.0,23.0,61.0,55.0,40.0,23.0,50.0,50.0,45.0,52.0,32.0,32.0,20.0,44.0,35.0,63.0,69.0,41.0,57.0,46.7
64.0,67.0,70.0,71.0,50.0,60.0,56.0,45.0,53.0,31.0,60.0,73.0,56.0,45.0,54.0,65.0,60.0,68.0,61.0,56.0,52.0,50.0,86.0,61.0,65.0,45.0,45.0,60.0,60.0,56.0,61.0,73.0,56.0,60.0,68.0,55.0,67.0,60.0,48.0,73.0,64.0,59.3
50.0,53.0,66.0,66.0,45.0,51.0,64.0,30.0,50.0,55.0,45.0,61.0,68.0,51.0,61.0,61.0,63.0,52.0,64.0,62.0,60.0,64.0,56.0,70.0,63.0,72.0,47.0,57.0,47.0,60.0,54.0,72.0,53.0,60.0,64.0,65.0,70.0,61.0,47.0,50.0,70.0,58.0
47.0,52.0,34.0,46.0,53.0,42.0,47.0,55.0,72.0,47.0,24.0,42.0,23.0,46.0,24.0,55.0,41.0,51.0,56.0,41.0,43.0,51.0,47.0,60.0,45.0,59.0,28.0,46.0,56.0,74.0,54.0,48.0,45.0,40.0,35.0,41.0,16.0,50.0,51.0,45.0,23.0,45.2
53.0,72.0,52.0,31.0,80.0,64.0,45.0,50.0,72.0,60.0,40.0,44.0,29.0,46.0,36.0,50.0,32.0,48.0,40.0,45.0,40.0,43.0,24.0,55.0,49.0,61.0,51.0,50.0,65.0,73.0,33.0,54.0,50.0,40.0,51.0,32.0,45.0,45.0,45.0,62.0,80.0,49.7
60.0,73.0,56.0,68.0,50.0,37.0,50.0,50.0,47.0,43.0,54.0,45.0,31.0,27.0,45.0,33.0,38.0,36.0,80.0,62.0,50.0,41.0,68.0,56.0,45.0,74.0,45.0,45.0,45.0,66.0,52.0,56.0,42.0,45.0,60.0,70.0,67.0,64.0,46.0,54.0,63.0,52.2
43.0,67.0,40.0,45.0,58.0,56.0,81.0,52.0,70.0,47.0,76.0,56.0,64.0,48.0,64.0,47.0,61.0,64.0,74.0,71.0,75.0,69.0,72.0,72.0,78.0,55.0,66.0,64.0,65.0,40.0,28.0,61.0,71.0,50.0,55.0,78.0,51.0,50.0,50.0,3.5,47.8,58.2
60.0,70.0,48.0,46.0,68.0,56.0,47.0,50.0,48.0,24.0,25.0,61.0,43.0,29.0,40.0,36.0,45.0,47.0,47.0,40.0,29.0,46.0,45.0,55.0,38.0,72.0,48.0,50.0,50.0,66.0,51.0,58.0,48.0,60.0,42.0,45.0,28.0,50.0,46.0,50.0,53.0,47.8
65.0,61.0,67.0,21.0,32.0,58.0,64.0,50.0,45.0,46.0,50.0,55.0,58.0,46.0,51.0,55.0,65.0,60.0,70.0,57.0,56.0,40.0,54.0,52.0,53.0,61.0,68.0,50.0,45.0,46.0,58.0,78.0,63.0,60.0,45.0,47.0,66.0,43.0,45.0,53.0,60.0,54.1
46.0,47.0,43.0,45.0,38.0,37.0,42.0,24.0,46.0,18.0,8.0,46.0,45.0,47.0,45.0,48.0,35.0,46.0,47.0,53.0,20.0,38.0,45.0,22.0,42.0,35.0,31.0,45.0,45.0,45.0,18.0,0.0,1.0,45.0,53.0,48.0,30.0,46.0,21.0,46.0,19.0,36.6
50.0,51.0,54.0,45.0,33.0,69.0,52.0,51.0,60.0,46.0,51.0,71.0,58.0,45.0,52.0,65.0,58.0,48.0,51.0,59.0,50.0,51.0,51.0,50.0,50.0,68.0,62.0,50.0,50.0,64.0,52.0,81.0,41.0,45.0,60.0,54.0,71.0,48.0,39.0,52.0,59.0,54.1
53.0,57.0,56.0,64.0,46.0,62.0,55.0,50.0,60.0,63.0,60.0,72.0,70.0,51.0,67.0,65.0,64.0,71.0,84.0,60.0,56.0,68.0,78.0,73.0,45.0,53.0,68.0,54.0,76.0,51.0,78.0,57.0,61.0,54.0,61.0,68.0,75.0,73.0,53.0,60.0,56.0,62.1
38.0,47.0,50.0,50.0,64.0,57.0,54.0,52.0,72.0,36.0,60.0,46.0,66.0,52.0,52.0,50.0,46.0,49.0,41.0,54.0,52.0,68.0,53.0,49.0,73.0,59.0,55.0,51.0,70.0,51.0,41.0,50.0,53.0,60.0,57.0,55.0,68.0,54.0,54.0,45.0,2.8,52.6
66.0,85.0,51.0,45.0,83.0,67.0,45.0,57.0,62.0,41.0,40.0,53.0,41.0,54.0,27.0,39.0,34.0,65.0,49.0,48.0,47.0,63.0,55.0,51.0,45.0,46.0,53.0,23.0,50.0,46.0,45.0,45.0,85.0,45.0,17.0,46.0,58.0,2.3,48.3,49.3,47.8,49.3
75.0,69.0,65.0,73.0,52.0,37.0,48.0,49.0,38.0,28.0,70.0,47.0,30.0,45.0,66.0,46.0,45.0,45.0,77.0,70.0,56.0,56.0,50.0,61.0,71.0,47.0,45.0,45.0,61.0,60.0,51.0,57.0,51.0,50.0,55.0,77.0,61.0,66.0,33.0,58.0,60.0,54.8
52.0,54.0,66.0,48.0,71.0,60.0,45.0,50.0,71.0,52.0,79.0,52.0,79.0,52.0,60.0,71.0,70.0,45.0,54.0,47.0,68.0,66.0,59.0,66.0,73.0,76.0,47.0,53.0,56.0,66.0,57.0,71.0,51.0,45.0,51.0,55.0,59.0,52.0,66.0,80.0,3.5,58.5
83.0,61.0,47.0,43.0,51.0,21.0,16.0,56.0,0.0,17.0,43.0,49.0,53.0,46.0,17.0,18.0,58.0,0.0,31.0,52.0,13.0,29.0,0.0,58.0,34.0,46.0,29.0,91.0,46.0,1.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,40.5
84.0,69.0,71.0,45.0,51.0,35.0,45.0,42.0,51.0,36.0,53.0,66.0,30.0,46.0,45.0,18.0,40.0,45.0,62.0,60.0,60.0,57.0,51.0,65.0,62.0,45.0,55.0,50.0,66.0,50.0,47.0,46.0,64.0,72.0,51.0,73.0,53.0,58.0,60.0,50.0,45.0,53.0
67.0,60.0,45.0,71.0,62.0,60.0,67.0,55.0,58.0,69.0,60.0,60.0,80.0,55.0,50.0,68.0,70.0,79.0,65.0,71.0,56.0,54.0,58.0,76.0,73.0,52.0,76.0,52.0,87.0,54.0,66.0,76.0,68.0,62.0,63.0,68.0,71.0,70.0,70.0,57.0,54.0,64.3
59.0,72.0,70.0,45.0,48.0,55.0,63.0,53.0,69.0,54.0,51.0,80.0,70.0,45.0,77.0,65.0,53.0,71.0,54.0,64.0,45.0,64.0,80.0,67.0,67.0,71.0,49.0,54.0,70.0,60.0,54.0,76.0,79.0,73.0,52.0,57.0,52.0,68.0,56.0,66.0,57.0,61.8
